,year,overall_accuracy,kappa_index,error_matrices
0,1991,0.9468085106382979,0.9022869022869022,"[[29, 3, 0], [2, 52, 0], [0, 0, 8]]"
1,1993,0.9382716049382716,0.8919423692636071,"[[25, 1, 0], [4, 42, 0], [0, 0, 9]]"
2,1994,0.9270833333333334,0.8535947712418301,"[[19, 6, 0], [1, 60, 0], [0, 0, 10]]"
3,1995,0.935064935064935,0.8558052434456929,"[[13, 2, 0], [3, 52, 0], [0, 0, 7]]"
4,1996,0.9468085106382979,0.8896972541656888,"[[19, 3, 0], [2, 61, 0], [0, 0, 9]]"
5,1997,0.9439252336448598,0.8980628771038425,"[[32, 6, 0], [0, 59, 0], [0, 0, 10]]"
6,1998,0.9074074074074074,0.8300818124606671,"[[22, 6, 0], [4, 61, 0], [0, 0, 15]]"
7,1999,0.9354838709677419,0.8842803815844047,"[[23, 0, 0], [6, 52, 0], [0, 0, 12]]"
8,2000,0.9895833333333334,0.9813628421665699,"[[33, 0, 0], [1, 53, 0], [0, 0, 9]]"
9,2001,0.9425287356321839,0.8959827833572453,"[[25, 3, 0], [2, 48, 0], [0, 0, 9]]"
10,2002,0.9879518072289156,0.9756025867136977,"[[24, 0, 0], [1, 53, 0], [0, 0, 5]]"
11,2003,0.9680851063829787,0.9352468427095293,"[[24, 1, 0], [2, 60, 0], [0, 0, 7]]"
12,2004,0.9529411764705882,0.9108079748163692,"[[26, 4, 0], [0, 49, 0], [0, 0, 6]]"
13,2005,0.9514563106796117,0.9131973706388,"[[29, 3, 0], [2, 57, 0], [0, 0, 12]]"
14,2006,0.9148936170212766,0.8474645030425962,"[[20, 5, 0], [3, 52, 0], [0, 0, 14]]"
15,2007,0.9215686274509803,0.8371257485029939,"[[23, 6, 0], [2, 64, 0], [0, 0, 7]]"
16,2008,0.9404761904761905,0.8825831702544031,"[[24, 1, 0], [4, 50, 0], [0, 0, 5]]"
17,2009,0.9634146341463414,0.9308600337268128,"[[22, 2, 0], [1, 49, 0], [0, 0, 8]]"
18,2010,0.9166666666666666,0.8227313837805245,"[[22, 3, 0], [4, 52, 0], [0, 0, 3]]"
19,2011,0.8888888888888888,0.7645348837209301,"[[22, 5, 0], [7, 67, 0], [0, 0, 7]]"
20,2012,0.9117647058823529,0.8306585500830104,"[[22, 5, 0], [4, 60, 0], [0, 0, 11]]"
21,2013,0.8865979381443299,0.783789260385005,"[[18, 4, 0], [7, 56, 0], [0, 0, 12]]"
22,2014,0.9550561797752809,0.9130859374999999,"[[23, 2, 0], [2, 54, 0], [0, 0, 8]]"
23,2015,0.9148936170212766,0.8542070569988367,"[[33, 4, 0], [4, 43, 0], [0, 0, 10]]"
24,2016,0.8901098901098901,0.7979573712255772,"[[18, 9, 0], [1, 51, 0], [0, 0, 12]]"
25,2017,0.9285714285714286,0.8642835504392609,"[[26, 5, 0], [3, 66, 0], [0, 0, 12]]"
26,2018,0.9540229885057471,0.9115853658536585,"[[21, 3, 0], [1, 53, 0], [0, 0, 9]]"
27,2019,0.9072164948453608,0.8108752166377816,"[[19, 5, 0], [4, 60, 0], [0, 0, 9]]"
28,2020,0.9512195121951219,0.9108695652173913,"[[24, 2, 0], [2, 46, 0], [0, 0, 8]]"
29,2021,0.9421487603305785,0.8820991091314031,"[[29, 3, 0], [4, 76, 0], [0, 0, 9]]"
